0: 'コンストラクタ'
1: 'デストラクタ'
1000000000: '敵リスポン'
50: 'プリコンストラクタ'
12900000: '宝箱_XX'
12900060: 'ユニークアイテム切替_XX'
12900067: '錆びた宝箱_XX'
12900078: '錆びた宝箱_サウンドトラップ_XX'
12900089: '扉アクション削除_XX'
12900163: '扉アクション削除_一方通行扉_XX'
12900174: '一方通行扉_Msg_XX'
12900185: 'レバー扉_XX'
12900186: 'レバー扉_Msg_XX'
12900187: 'レバー扉_レバーMsg_XX'
12900188: '封印扉_レバーを引く_XX'
12900189: '封印扉_扉を開ける_XX'
12900190: '封印扉_Msg_XX'
12900191: '封印扉_レバーMsg_XX'
12900192: 'メインブロック扉_レバーを引く_XX'
12900197: 'メインブロック扉_扉を開ける_XX'
12900202: 'メインブロック扉_Msg_XX'
12900207: 'メインブロック扉_レバーMsg_XX'
12900229: 'メインブロック扉_レバーを引いた_XX'
12900234: '鍵消費_扉開錠_XX'
12900235: '鍵保持_扉開錠_XX'
12900236: '魔法壁消失_XX'
12900238: '錆びた扉_XX'
12900239: '錆びた扉_サウンドトラップXX'
12900240: '祭壇エレベーター初期化'
12900245: '祭壇エレベーター下がる'
12900250: '祭壇エレベーター上がる'
12900255: '祭壇エレベーター呼び出しレバー操作不能'
12900260: '血族オフライン救済_XX'
12900293: 'テレポーター_転送開始'
12900304: 'テレポーター_転送完了'
12900315: '籠牢エレベーター初期化'
12900323: '籠牢エレベーターあがる'
12900331: '籠牢エレベーターさがる'
12900339: '籠牢エレベーター呼び出しレバー操作不能'
12900347: 'フロア移動エレベーター初期化'
12900351: '21m_フロア移動エレベーターあがる'
12900353: '42m_フロア移動エレベーターあがる'
12900354: '21m_フロア移動エレベーターさがる'
12900356: '42m_フロア移動エレベーターさがる'
12900357: 'フロア移動エレベーター呼び出しレバー操作不能'
12900361: '【中下段】天秤エレベーター初期化'
12900363: '【中下段】天秤エレベーター初回'
12900365: '【中下段】天秤エレベーター_天秤Aが上'
12900367: '【中下段】天秤エレベーター_天秤Aが下'
12900369: '【上中段】天秤エレベーター初期化'
12900371: '【上中段】天秤エレベーター初回'
12900373: '【上中段】天秤エレベーター_天秤Aが上'
12900375: '【上中段】天秤エレベーター_天秤Aが下'
12900377: 'ダメージ球作成_XX'
12900395: '焚き火ダメージ球作成_XX'
12900423: '落とし穴_XX'
12900430: '寡婦ジェネレーター無効_XX'
12901000: '寡婦ジェネレート切替_XX'
12901200: '召喚敵生成ワープ_XX'
12901272: '寡婦死亡でザコ死亡_XX'
12901347: '矢トラップ_スイッチ_XX'
12901400: '矢トラップ_発射_XX'
12901447: 'ナビメッシュノードバンク_XX'
12901525: '跳ね橋ナビメッシュノードバンク_XX'
12901532: '宝敵再出現制御_XX'
12901550: '跳ね橋降下'
12901554: '不意打ち敵_PC発見で起動'
12901555: '弾丸オーナー作成'
12901556: 'はしご登録'
12901588: 'ボス撃破'
12901589: '複数ボス撃破'
12901590: 'ボスラッシュ_ボス撃破'
12901591: '三体ボス撃破'
12901592: 'ボス部屋_4F扉解放'
12901593: 'ボスラッシュ_扉解放'
12901594: '【3F用】ボス撃破アイテム取得'
12901595: '【4F用】ボス撃破アイテム取得'
12901596: '【1,2F用】ボス撃破アイテム取得'
12901597: '【ボスラッシュ用】ボス撃破アイテム取得'
12901598: '【フロアボス・大ボス用】ボス撃破アイテム取得'
12901599: 'ボス登場アニメ再生_XX'
12901600: 'Bボス登場SFX再生_XX'
12901601: 'ボス壁有効化'
12901602: '領域通過でランタン点灯_XX'
12901684: 'トロフィー開放_XX'
12901685: 'プレイログ_クリア時間計測'
12901686: 'ボス撃破処理'
12901690: 'ボス撃破処理_出口無し'
12901692: 'ボス撃破処理_前座'
12901693: 'ボス報酬_撃破アイテム'
12901697: 'ボス部屋入場_ホスト_初戦_アニメ'
12901701: 'ボス部屋入場_ホスト_初戦_SFX'
12901705: 'ボス部屋入場_ホスト_初戦_アニメ_前座'
12901706: 'ボス部屋入場_ホスト_初戦_SFX_前座'
12901707: 'ボス部屋入場_ホスト_初戦_SFX_デブ'
12901708: 'ボス報酬_撃破SAN値'
12901712: 'ボス報酬_撃破SAN値_前座'
12901713: 'ボス入口扉開放'
12901717: 'ボス入口扉開放_前座'
12901718: 'ボス報酬_出会いSAN値'
12901722: 'ボス報酬_出会いSAN値_前座'
12901723: 'ボス撃破処理_2体'
12901725: 'ボス撃破処理_デブ'
12901727: 'ボス部屋出口開放_前座'
12901728: 'ボス部屋出口開放_3F後'
12901730: 'ボス報酬_撃破アイテム_前座'
12904000: '星の花死亡演出'
12904013: '星の花ダメージアニメ強制変更解除'
12904026: '花嫁分身初期設定'
12904027: '花嫁撃破で分身道連れ'
12904028: '花嫁_ヒートアップ'
12904029: '花嫁のワープ先選択_大カテゴリ'
12904030: '花嫁のワープ先選択_小カテゴリ'
12904033: '花嫁がワープを実行'
12904036: '花嫁がワープを実行_第3段階'
12904039: '花嫁の分身が出現'
12904040: '花嫁分身が消滅'
12904041: '胎児ダミーキャラ接続_XX'
12904042: '花嫁からダミーキャラへの状態連絡_XX'
12904043: '落下敵_XX'
12904070: '血舐め_XX'
12904156: '一斉召喚ワープ_XX'
12904183: '一斉召喚取り巻きカウント_XX'
12904210: '一斉召喚行動リクエスト_XX'
12904216: '一斉召喚ジェネレータ切替_XX'
12904222: '一斉召喚可能フラグ_XX'
12904228: '特殊生成取り巻きカウント_XX'
12904274: '特殊生成行動リクエスト_XX'
12904285: '特殊生成ジェネレータ切替_XX'
12904326: '特殊生成可能フラグ_XX'
12904337: 'トラップ出現敵_XX'
12904338: '黒い宝箱_XX'
12904342: '岩ゴロゴロ'
12904343: '始祖ビースト虫の当り抜き'
12904345: '死と闇の眷属_松明を恐れる_XX'
12904361: 'サソリの子供_XX'
