Event ID: 0, Int: 0
Parameters: {} ()
      0 Initialize Event (Event ID: 4294967295, Slot Number: 0, Arguments: {0})
      1 Initialize Event (Event ID: 4294967295, Slot Number: 0, Arguments: {0})
      2 Initialize Event (Event ID: 4294967295, Slot Number: 0, Arguments: {0})
      3 Initialize Event (Event ID: 4294967295, Slot Number: 0, Arguments: {0})
      4 Initialize Event (Event ID: 4294967295, Slot Number: 0, Arguments: {0})
      5 Initialize Event (Event ID: 12907400, Slot Number: 0, Arguments: {2902960, 2900960})
      6 Initialize Event (Event ID: 4294967295, Slot Number: 0, Arguments: {0})
      7 Initialize Event (Event ID: 4294967295, Slot Number: 0, Arguments: {0})
      8 Initialize Event (Event ID: 4294967295, Slot Number: 1, Arguments: {0})
      9 Initialize Event (Event ID: 4294967295, Slot Number: 2, Arguments: {0})
     10 Initialize Event (Event ID: 4294967295, Slot Number: 3, Arguments: {0})
     11 Initialize Event (Event ID: 4294967295, Slot Number: 4, Arguments: {0})
     12 Initialize Event (Event ID: 4294967295, Slot Number: 5, Arguments: {0})
     13 Initialize Event (Event ID: 4294967295, Slot Number: 6, Arguments: {0})
     14 Initialize Event (Event ID: 4294967295, Slot Number: 7, Arguments: {0})
     15 Initialize Event (Event ID: 4294967295, Slot Number: 8, Arguments: {0})
     16 Initialize Event (Event ID: 4294967295, Slot Number: 9, Arguments: {0})
     17 Initialize Event (Event ID: 4294967295, Slot Number: 10, Arguments: {0})
     18 Initialize Event (Event ID: 4294967295, Slot Number: 11, Arguments: {0})
     19 Initialize Event (Event ID: 4294967295, Slot Number: 12, Arguments: {0})
     20 Initialize Event (Event ID: 4294967295, Slot Number: 13, Arguments: {0})
     21 Initialize Event (Event ID: 4294967295, Slot Number: 14, Arguments: {0})
     22 Initialize Event (Event ID: 4294967295, Slot Number: 15, Arguments: {0})
     23 Initialize Event (Event ID: 4294967295, Slot Number: 16, Arguments: {0})
     24 Initialize Event (Event ID: 4294967295, Slot Number: 17, Arguments: {0})
     25 Initialize Event (Event ID: 4294967295, Slot Number: 18, Arguments: {0})
     26 Initialize Event (Event ID: 4294967295, Slot Number: 19, Arguments: {0})
     27 Initialize Event (Event ID: 4294967295, Slot Number: 20, Arguments: {0})
     28 Initialize Event (Event ID: 4294967295, Slot Number: 21, Arguments: {0})
     29 Initialize Event (Event ID: 4294967295, Slot Number: 22, Arguments: {0})
     30 Initialize Event (Event ID: 4294967295, Slot Number: 23, Arguments: {0})
     31 Initialize Event (Event ID: 4294967295, Slot Number: 24, Arguments: {0})
     32 Initialize Event (Event ID: 4294967295, Slot Number: 25, Arguments: {0})
     33 Initialize Event (Event ID: 4294967295, Slot Number: 26, Arguments: {0})
     34 Initialize Event (Event ID: 4294967295, Slot Number: 27, Arguments: {0})
     35 Initialize Event (Event ID: 4294967295, Slot Number: 28, Arguments: {0})
     36 Initialize Event (Event ID: 4294967295, Slot Number: 29, Arguments: {0})
     37 Initialize Event (Event ID: 4294967295, Slot Number: 30, Arguments: {0})
     38 Initialize Event (Event ID: 4294967295, Slot Number: 31, Arguments: {0})
     39 Initialize Event (Event ID: 4294967295, Slot Number: 32, Arguments: {0})
     40 Initialize Event (Event ID: 4294967295, Slot Number: 33, Arguments: {0})
     41 Initialize Event (Event ID: 4294967295, Slot Number: 34, Arguments: {0})
     42 Initialize Event (Event ID: 4294967295, Slot Number: 35, Arguments: {0})
     43 Initialize Event (Event ID: 4294967295, Slot Number: 36, Arguments: {0})
     44 Initialize Event (Event ID: 4294967295, Slot Number: 37, Arguments: {0})
     45 Initialize Event (Event ID: 4294967295, Slot Number: 38, Arguments: {0})
     46 Initialize Event (Event ID: 4294967295, Slot Number: 39, Arguments: {0})
